City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
san quintin,100,PH,1557852841,81,17.54,120.52,80.25,2.1
greenfield,90,US,1557852834,75,42.59,-72.6,48.0,9.17
morros,75,BR,1557849600,94,-2.87,-44.04,77.0,9.17
algiers,1,US,1557852805,32,29.94,-90.04,82.0,11.41
husavik,0,CA,1557852671,44,50.56,-96.99,55.99,7.0
clyde river,40,CA,1557851940,92,70.47,-68.59,30.2,26.4
dzerzhinskoye,45,RU,1557852843,62,56.84,95.22,30.21,3.85
sambava,25,MG,1557852843,86,-14.27,50.17,71.61,1.54
talpa,40,MX,1557852838,32,28.83,-111.63,86.0,7.2
tumarbong,58,PH,1557852844,77,10.38,119.46,83.49,5.68
virden,53,CA,1557852818,36,49.85,-100.93,64.23,2.46
koundara,22,GN,1557852844,9,12.49,-13.3,107.97,1.86
bambous virieux,20,MU,1557852842,73,-20.34,57.76,75.2,3.36
liverpool,0,GB,1557852603,46,53.41,-2.98,71.01,9.17
byron bay,75,AU,1557852698,93,-28.65,153.62,66.0,5.26
viedma,52,AR,1557852555,37,-40.81,-62.99,62.43,17.02
estelle,5,US,1557852605,44,32.87,-97.01,84.0,9.17
isla vista,90,US,1557852370,87,34.41,-119.86,60.8,4.97
tendukheda,19,IN,1557852846,21,23.4,79.54,92.85,7.02
santa isabel do rio negro,74,BR,1557852846,90,-0.41,-65.02,82.23,3.06
egvekinot,100,RU,1557852846,96,66.32,-179.17,19.95,10.0
hualmay,100,PE,1557852573,96,-11.1,-77.61,64.77,13.65
taylorville,1,US,1557852822,45,39.55,-89.29,69.01,6.93
mayachnyy,47,RU,1557852847,77,52.68,55.69,65.67,9.64
laguna,5,MX,1557848460,24,27.52,-110.01,82.4,3.36
vestmannaeyjar,90,IS,1557849600,100,63.44,-20.27,46.4,29.97
yar-sale,0,RU,1557852848,92,66.83,70.83,13.65,6.15
pitimbu,75,BR,1557849600,70,-7.47,-34.81,86.0,8.05
salinopolis,100,BR,1557852849,76,-0.61,-47.36,83.13,12.08
batu gajah,75,MY,1557849600,88,4.47,101.04,80.6,4.7
aguimes,20,ES,1557852774,53,27.91,-15.45,77.0,27.51
opuwo,61,NA,1557852851,25,-18.06,13.84,79.53,5.73
beloha,21,MG,1557852851,90,-25.17,45.06,66.93,6.11
bud,75,NO,1557852350,58,62.91,6.91,53.6,10.29
arshan,10,YE,1557852852,42,14.32,46.95,79.71,8.61
kaka,1,TM,1557852852,27,37.35,59.62,81.33,15.55
sorong,97,ID,1557852831,94,-0.86,131.25,77.37,2.71
jinchang,80,CN,1557852853,39,38.52,102.19,51.99,17.09
belyy yar,99,RU,1557849600,92,53.6,91.39,30.2,2.24
tanabe,76,JP,1557852757,95,33.73,135.39,59.0,5.86
villarrica,0,CL,1557852362,71,-39.28,-72.23,66.0,2.24
hami,6,CN,1557852854,18,42.84,93.51,51.63,12.59
garowe,94,SO,1557852861,53,8.41,48.48,85.65,11.21
puerto escondido,40,MX,1557848400,58,15.86,-97.07,86.0,7.78
petauke,0,ZM,1557852861,65,-14.25,31.33,65.85,8.14
kungurtug,91,RU,1557852863,85,50.6,97.53,23.55,2.91
fortuna,0,ES,1557852823,40,38.18,-1.13,78.8,8.05
dhidhdhoo,17,MV,1557852863,75,6.88,73.1,85.65,10.02
vostok,46,RU,1557852864,63,46.45,135.83,48.39,3.71
kalianget,100,ID,1557852864,98,-7.74,113.68,66.21,2.06
torrevieja,0,ES,1557852618,40,37.98,-0.68,78.8,12.75
musoma,90,TZ,1557852864,69,-1.5,33.81,77.37,8.57
boyolangu,100,ID,1557852865,94,-8.09,111.9,73.59,4.05
phan thiet,65,VN,1557852693,91,10.93,108.1,78.27,1.68
nantucket,90,US,1557852842,93,41.28,-70.1,48.2,11.41
am timan,75,TD,1557852866,19,11.04,20.28,99.87,5.26
yumen,47,CN,1557852866,28,40.29,97.04,56.31,11.88
yichun,0,CN,1557852866,78,47.72,128.88,40.65,3.22
esmeralda,0,CL,1557849600,35,-34.33,-70.9,69.8,3.36
ambikapur,3,IN,1557852867,25,23.12,83.2,81.69,3.94
chulym,100,RU,1557852867,87,55.09,80.97,37.23,6.85
makakilo city,90,US,1557852431,100,21.35,-158.09,77.0,5.82
saint-augustin,0,FR,1557852848,25,44.83,-0.61,78.01,14.99
birao,45,CF,1557852868,7,10.3,22.78,92.85,5.39
kayseri,0,TR,1557849000,24,38.73,35.48,79.0,6.93
shingu,93,JP,1557852869,99,33.72,135.99,48.03,4.18
lazarev,94,RU,1557852869,82,52.23,141.51,36.15,7.25
asyut,0,EG,1557849600,18,27.18,31.19,98.6,4.7
ponferrada,8,ES,1557852854,99,42.55,-6.59,78.01,3.0
poso,100,ID,1557852870,97,-1.4,120.75,62.97,2.82
tiznit,16,MA,1557852694,79,29.7,-9.73,68.19,5.66
navolato,40,MX,1557852665,47,24.76,-107.7,82.0,8.77
san lazaro,75,BZ,1557849600,79,18.04,-88.66,87.8,6.93
kaeo,88,NZ,1557851885,91,-35.1,173.78,51.01,5.32
coos bay,90,US,1557852485,100,43.37,-124.22,54.0,5.82
yeppoon,75,AU,1557849600,73,-23.13,150.74,69.8,10.29
khandyga,100,RU,1557852872,47,62.65,135.58,41.73,8.7
zlatograd,40,BG,1557850800,72,41.38,25.09,68.0,11.41
kysyl-syr,87,RU,1557852873,87,63.9,122.77,38.49,8.66
guanare,100,VE,1557852873,48,9.04,-69.74,87.81,2.15
lensk,97,RU,1557852873,63,60.71,114.91,35.79,4.92
ocala,40,US,1557852806,74,29.19,-82.14,84.0,6.93
osmena,42,PH,1557852874,79,12.17,124.59,82.77,9.4
quthing,39,LS,1557852874,38,-30.4,27.7,55.59,3.91
consett,0,GB,1557852849,49,54.85,-1.83,71.01,8.05
lazaro cardenas,5,MX,1557852610,28,28.39,-105.62,78.01,4.23
kutum,23,SD,1557852875,6,14.2,24.66,86.73,6.15
san matias,75,HN,1557849600,61,13.97,-86.63,80.6,5.82
marco,98,BR,1557852876,85,-3.12,-40.15,82.59,6.29
kilindoni,72,TZ,1557852876,69,-7.91,39.67,83.31,15.77
pilot butte,90,CA,1557849600,31,50.48,-104.42,60.8,2.24
mount gambier,90,AU,1557849600,100,-37.83,140.78,50.0,4.59
chekhov,0,RU,1557852022,77,55.14,37.45,68.0,11.18
podporozhye,21,RU,1557852878,73,60.91,34.16,49.47,8.01
sawtell,75,AU,1557852800,100,-30.38,153.1,55.4,5.5
soyo,20,AO,1557849600,79,-6.13,12.37,84.2,6.93
chapais,75,CA,1557849600,37,49.78,-74.86,55.4,11.41
omboue,90,GA,1557852879,81,-1.57,9.26,82.23,10.54
guarapari,20,BR,1557851645,78,-20.67,-40.5,82.0,13.87
nador,0,MA,1557851400,68,35.17,-2.93,69.8,10.29
sao sebastiao do cai,90,BR,1557852485,93,-29.59,-51.38,68.0,5.82
rockport,75,US,1557852588,69,28.02,-97.05,82.4,12.75
lulea,0,SE,1557849000,48,65.58,22.15,50.0,6.93
gobabis,23,NA,1557849600,16,-22.45,18.97,78.8,1.12
dingle,39,PH,1557852881,68,11.0,122.67,78.99,3.69
svalyava,92,UA,1557852583,86,48.55,22.99,57.0,3.0
camacha,75,PT,1557851400,77,33.08,-16.33,71.6,20.8
ulladulla,0,AU,1557852410,100,-35.36,150.48,50.0,9.17
vanavara,55,RU,1557852882,94,60.35,102.28,26.97,2.1
san vicente,75,SV,1557852316,83,13.64,-88.78,84.2,3.36
tucuman,0,PE,1557852883,20,-17.17,-70.89,71.07,7.99
brigham city,1,US,1557852883,26,41.51,-112.02,77.0,3.36
katima mulilo,0,NA,1557849600,32,-17.5,24.28,80.6,3.36
knysna,0,ZA,1557849600,50,-34.04,23.05,75.2,8.05
zhukovo,92,RU,1557852884,60,57.4,83.94,33.27,6.04
denpasar,20,ID,1557849600,88,-8.65,115.22,80.6,12.75
half moon bay,75,US,1557852873,76,37.46,-122.43,62.01,5.3
puro,37,PH,1557852885,83,13.13,123.76,80.07,6.76
talcahuano,0,CL,1557849600,51,-36.72,-73.12,62.6,6.93
kahului,20,US,1557852606,83,20.89,-156.47,73.99,8.93
muroto,100,JP,1557852886,85,33.37,134.14,59.01,6.44
palafrugell,0,ES,1557852707,63,41.92,3.16,71.01,12.75
samarai,12,PG,1557852889,98,-10.62,150.67,73.77,1.19
altay,98,CN,1557852889,88,47.83,88.13,25.35,3.89
gimli,0,CA,1557852671,44,50.63,-96.99,55.99,7.0
